Company,Project,Donation Date,Donor First Name,Donor Last Name,Email,Address,City,State/Province,Postal Code,Activity,Comment,Transaction ID,Donation Frequency,Currency,Project Remote ID,Source,Reason,Total Donation to be Acknowledged,Match Amount,Cause Support Fee,Merchant Fee,Fee Comment
Empower Retirement LLC,iMentor Chicago,2024-09-15T19:08:46Z,Thomas,Adams,Thomas.Lockwood@empower.com,Not shared by donor,Not shared by donor,Not shared by donor,80108,,,1,Recurring,USD,385094605a5b171c962,Payroll,User Donation,15,15,0.88,0,
Empower Retirement LLC,iMentor Chicago,2024-09-21T21:34:31Z,Thomas,Adams,Thomas.Lockwood@empower.com,Not shared by donor,Not shared by donor,Not shared by donor,80108,,,2,Recurring,USD,385094605a5b171c962,Payroll,User Donation,15,15,0.88,0,
Empower Retirement LLC,iMentor Chicago,2024-10-05T01:45:11Z,Thomas,Adams,Thomas.Lockwood@empower.com,Not shared by donor,Not shared by donor,Not shared by donor,80108,,,3,Recurring,USD,385094605a5b171c962,Payroll,User Donation,15,15,0.88,0,
Morgan Stanley,iMentor,2024-10-10T21:42:20Z,Sunshine,Johnson,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,8816,,,4,Recurring,USD,,Payroll,User Donation,25,0,0,0,
BlackRock,iMentor,2024-10-13T21:25:50Z,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Volunteering: Mentor a NYC High School Student!,,5,One Time,USD,,Volunteer,Match,25,0,0,0,
BlackRock,iMentor,2024-10-13T21:25:51Z,Angela,Cupcake,angini.ragumar@blackrock.com,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,Volunteering: Mentor a NYC High School Student!,,6,One Time,USD,,Volunteer,Match,25,0,0,0,
Morgan Stanley,iMentor,2024-10-15T16:07:16Z,Kate,Popsicle,Not shared by donor,Not shared by donor,Not shared by donor,Not shared by donor,11201,,,7,One Time,USD,,My Rewards,User Donation,125,0,0,0,
BMO Financial Group,iMentor Chicago,2024-10-15T17:16:51Z,CHRIS,PENCIL,Christian1.Navarro@bmo.com,Not shared by donor,Not shared by donor,Not shared by donor,60610,,,8,Recurring,USD,385094605a5b171c962,Payroll,User Donation,28.85,0,0,0,
BMO Financial Group,iMentor Chicago,2024-10-15T17:23:11Z,Amanda,Coffee,Shelley.Johnsen@bmo.com,Not shared by donor,Not shared by donor,Not shared by donor,60622,,,9,Recurring,USD,385094605a5b171c962,Payroll,User Donation,100,0,0,0,
BMO Financial Group,iMentor Chicago,2024-10-15T17:26:41Z,Chrysler,Building,scott.krynski@bmo.com,Not shared by donor,Not shared by donor,Not shared by donor,60657,,,10,Recurring,USD,385094605a5b171c962,Payroll,User Donation,28.85,0,0,0,
